main_speaker,views,title,url,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jaw-dropping,OK,Obnoxious,Inspiring
Boaz Almog,2364799,The levitating superconductor,"https://www.ted.com/talks/boaz_almog_levitates_a_superconductor
",24,84,378,16,20,24,366,782,20,32,1383,73,10,221
Alanna Shaikh,1280380,How I'm preparing to get Alzheimer's,"https://www.ted.com/talks/alanna_shaikh_how_i_m_preparing_to_get_alzheimer_s
",64,377,45,742,13,13,324,96,26,194,38,56,7,889
Raghava KK,811778,What's your 200-year plan?,"https://www.ted.com/talks/raghava_kk_what_s_your_200_year_plan
",31,34,21,15,49,62,16,31,88,17,6,72,40,95
Cesar Harada,841128,A novel idea for cleaning up oil spills,"https://www.ted.com/talks/cesar_harada_a_novel_idea_for_cleaning_up_oil_spills
",13,38,406,72,7,4,73,197,18,75,101,18,2,350
Usman Riaz + Preston Reed,3346345,A young guitarist meets his hero,"https://www.ted.com/talks/usman_riaz_and_preston_reed_a_young_guitarist_meets_his_hero
",12,932,149,36,20,5,5,495,15,19,931,52,9,537
Jane McGonigal,6141140,The game that can give you 10 extra years of life,"https://www.ted.com/talks/jane_mcgonigal_the_game_that_can_give_you_10_extra_years_of_life
",605,651,860,709,57,14,871,1218,225,1233,356,119,76,3210
Jonathan Eisen,736224,Meet your microbes,"https://www.ted.com/talks/jonathan_eisen_meet_your_microbes
",26,2,29,15,18,12,531,278,12,118,33,39,4,62
Chris Gerdes,731620,"The future race car -- 150mph, and no driver","https://www.ted.com/talks/chris_gerdes_the_future_race_car_150mph_and_no_driver
",30,5,74,9,21,5,93,141,22,21,29,44,7,55
Marc Goodman,1217317,A vision of crimes in the future,"https://www.ted.com/talks/marc_goodman_a_vision_of_crimes_in_the_future
",18,8,46,105,65,41,560,282,397,304,224,86,156,123
Jared Ficklin,669088,New ways to see music (with color! and fire!),"https://www.ted.com/talks/jared_ficklin_new_ways_to_see_music_with_color_and_fire
",8,52,71,5,16,12,45,133,32,1,16,41,4,28
Todd Humphreys,729428,How to fool a GPS,"https://www.ted.com/talks/todd_humphreys_how_to_fool_a_gps
",8,4,77,12,4,4,316,249,8,70,87,41,6,41
Gabriel Barcia-Colombo,729993,Capturing memories in video art,"https://www.ted.com/talks/gabriel_barcia_colombo_capturing_memories_in_video_art
",137,59,109,3,6,14,5,97,18,2,17,46,8,43
Mina Bissell,990712,Experiments that point to a new understanding of cancer,"https://www.ted.com/talks/mina_bissell_experiments_that_point_to_a_new_understanding_of_cancer
",6,109,250,95,12,20,275,421,10,114,193,26,8,348
Jamie Drummond,509747,Let's crowdsource the world's goals,"https://www.ted.com/talks/jamie_drummond_how_to_set_goals_for_the_world
",2,9,14,24,10,11,62,17,44,66,11,26,6,111
Baba Shiv,850833,Sometimes it's good to give up the driver's seat,"https://www.ted.com/talks/baba_shiv_sometimes_it_s_good_to_give_up_the_driver_s_seat
",3,4,25,11,11,17,128,56,49,73,4,47,2,57
Matt Mills,2623011,Image recognition that triggers augmented reality,"https://www.ted.com/talks/matt_mills_image_recognition_that_triggers_augmented_reality
",17,17,214,11,5,2,76,235,34,12,235,51,8,80
Neil Harbisson,2468887,I listen to color,"https://www.ted.com/talks/neil_harbisson_i_listen_to_color
",418,396,434,137,11,18,252,1210,35,46,739,103,12,581
John Graham-Cumming,1184933,The greatest machine that never was,"https://www.ted.com/talks/john_graham_cumming_the_greatest_machine_that_never_was
",29,19,69,5,20,7,247,232,4,7,30,47,3,66
Vinay Venkatraman,585351,Technology crafts for the digitally underserved,"https://www.ted.com/talks/vinay_venkatraman_technology_crafts_for_the_digitally_underserved
",1,14,189,23,5,2,55,83,8,33,43,7,0,158
James Stavridis,721266,A Navy Admiral's thoughts on global security,"https://www.ted.com/talks/james_stavridis_how_nato_s_supreme_commander_thinks_about_global_security
",4,6,20,44,22,5,145,63,86,131,16,40,40,177
Malte Spitz,1619108,Your phone company is watching,"https://www.ted.com/talks/malte_spitz_your_phone_company_is_watching
",4,29,23,304,31,13,688,121,42,293,149,73,18,128
Tracy Chevalier,1191702,Finding the story inside the painting,"https://www.ted.com/talks/tracy_chevalier_finding_the_story_inside_the_painting
",45,223,41,11,32,6,64,149,44,35,25,117,19,177
Ramesh Raskar,4039820,Imaging at a trillion frames per second,"https://www.ted.com/talks/ramesh_raskar_a_camera_that_takes_one_trillion_frames_per_second
",27,220,656,16,8,10,293,913,11,39,1294,21,11,322
Michael Hansmeyer,863507,Building unimaginable shapes,"https://www.ted.com/talks/michael_hansmeyer_building_unimaginable_shapes
",6,195,133,7,16,12,41,180,41,14,104,38,12,116
Noah Wilson-Rich,687263,Every city needs healthy honey bees,"https://www.ted.com/talks/noah_wilson_rich_every_city_needs_healthy_honey_bees
",48,35,29,11,7,8,195,84,25,131,16,35,15,175
Giles Duley,144044,When a reporter becomes the story,"https://www.ted.com/talks/giles_duley_when_a_reporter_becomes_the_story
",4,128,5,314,4,1,17,50,0,61,48,8,1,421
Michael Anti,1423930,Behind the Great Firewall of China,"https://www.ted.com/talks/michael_anti_behind_the_great_firewall_of_china
",101,19,27,335,24,26,474,245,33,130,46,58,9,155
Stephen Ritz,1112964,A teacher growing green in the South Bronx,"https://www.ted.com/talks/stephen_ritz_a_teacher_growing_green_in_the_south_bronx
",200,112,182,121,5,3,99,132,1,168,181,8,7,785
Daphne Koller,2302206,What we're learning from online education,"https://www.ted.com/talks/daphne_koller_what_we_re_learning_from_online_education
",29,132,454,177,23,15,655,555,16,654,248,65,11,1529
Becci Manson,767285,(Re)touching lives through photos,"https://www.ted.com/talks/becci_manson_re_touching_lives_through_photos
",3,271,27,60,2,2,19,86,2,12,17,16,6,294
Mark Applebaum,3600582,The mad scientist of music,"https://www.ted.com/talks/mark_applebaum_the_mad_scientist_of_music
",155,20,101,29,41,37,10,108,51,19,25,41,89,109
Hannah Fry,353350,Is life really that complex?,"https://www.ted.com/talks/hannah_fry_is_life_really_that_complex
",29,32,118,6,25,40,263,194,77,108,10,98,17,47
Scilla Elworthy,1145261,Fighting with nonviolence,"https://www.ted.com/talks/scilla_elworthy_fighting_with_non_violence
",7,155,21,199,50,18,113,98,98,210,28,49,18,525
Margaret Heffernan,3167353,Dare to disagree,"https://www.ted.com/talks/margaret_heffernan_dare_to_disagree
",6,157,163,805,55,25,878,678,33,1469,81,206,13,2020
Max Little,1065331,A test for Parkinson's with a phone call,"https://www.ted.com/talks/max_little_a_test_for_parkinson_s_with_a_phone_call
",2,11,297,16,1,1,162,123,12,54,74,28,0,87
Pam Warhurst,1206351,How we can eat our landscapes,"https://www.ted.com/talks/pam_warhurst_how_we_can_eat_our_landscapes
",126,149,301,161,8,3,214,240,15,450,97,23,6,991
Kirby Ferguson,1356163,Embrace the remix,"https://www.ted.com/talks/kirby_ferguson_embrace_the_remix
",79,31,91,114,7,3,330,206,38,449,37,64,8,255
Lisa Kristine,2586606,Photos that bear witness to modern slavery,"https://www.ted.com/talks/lisa_kristine_glimpses_of_modern_day_slavery
",27,159,16,983,28,20,742,206,24,508,732,32,29,863
Mark Forsyth,582161,What's a snollygoster? A short lesson in political speak,"https://www.ted.com/talks/mark_forsyth_what_s_a_snollygoster_a_short_lesson_in_political_speak
",82,9,20,4,11,3,181,99,19,48,8,49,2,7
Ivan Krastev,640604,Can democracy exist without trust?,"https://www.ted.com/talks/ivan_krastev_can_democracy_exist_without_trust
",11,7,63,86,17,18,196,125,26,267,36,34,3,95
Caitria + Morgan O'Neill,805880,How to step up in the face of disaster,"https://www.ted.com/talks/caitria_and_morgan_o_neill_how_to_step_up_in_the_face_of_disaster
",11,5,72,90,6,7,97,29,9,67,30,47,9,190
Jon Ronson,10167161,Strange answers to the psychopath test,"https://www.ted.com/talks/jon_ronson_strange_answers_to_the_psychopath_test
",580,170,259,227,86,70,684,1417,121,356,283,151,52,221
Timothy Prestero,1024653,"Design for people, not awards","https://www.ted.com/talks/timothy_prestero_design_for_people_not_awards
",38,22,144,35,2,3,212,95,1,209,12,18,0,306
Rob Legato,1952381,The art of creating awe,"https://www.ted.com/talks/rob_legato_the_art_of_creating_awe
",383,132,255,12,12,7,223,435,12,19,113,57,12,113
Robert Neuwirth,754755,The power of the informal economy,"https://www.ted.com/talks/robert_neuwirth_the_power_of_the_informal_economy
",13,7,25,28,4,9,249,118,31,105,23,32,12,71
Shyam Sankar,856136,The rise of human-computer cooperation,"https://www.ted.com/talks/shyam_sankar_the_rise_of_human_computer_cooperation
",6,24,47,13,28,15,192,142,31,82,26,56,5,96
Antony Gormley,464213,"Sculpted space, within and without","https://www.ted.com/talks/antony_gormley_sculpted_space_within_and_without
",2,57,14,0,28,17,5,50,26,6,6,29,12,68
Jonathan Trent,809361,Energy from floating algae pods,"https://www.ted.com/talks/jonathan_trent_energy_from_floating_algae_pods
",4,13,231,20,7,2,149,144,41,94,53,20,3,139
Kent Larson,1052980,Brilliant designs to fit more people in every city,"https://www.ted.com/talks/kent_larson_brilliant_designs_to_fit_more_people_in_every_city
",12,28,1560,14,13,4,229,264,33,143,66,45,2,327
Scott Fraser,1050633,Why eyewitnesses get it wrong,"https://www.ted.com/talks/scott_fraser_the_problem_with_eyewitness_testimony
",9,9,36,54,22,21,319,235,56,269,74,33,15,59
Vikram Patel,933277,Mental health for all by involving all,"https://www.ted.com/talks/vikram_patel_mental_health_for_all_by_involving_all
",0,32,42,47,10,3,169,43,5,128,23,18,0,165
Leslie T. Chang,1362071,The voices of China's workers,"https://www.ted.com/talks/leslie_t_chang_the_voices_of_china_s_workers
",19,74,26,106,21,21,433,174,100,204,51,44,41,218
Susan Solomon,832831,The promise of research with stem cells,"https://www.ted.com/talks/susan_solomon_the_promise_of_research_with_stem_cells
",3,20,66,24,16,13,175,119,18,86,44,31,12,92
Wayne McGregor,891589,A choreographer's creative process in real time,"https://www.ted.com/talks/wayne_mcgregor_a_choreographer_s_creative_process_in_real_time
",17,141,40,28,16,29,31,128,56,11,14,30,22,135
Beth Noveck,516355,Demand a more open-source government,"https://www.ted.com/talks/beth_noveck_demand_a_more_open_source_government
",3,17,40,30,23,3,94,42,22,112,22,22,8,131
Tristram Stuart,1471114,The global food waste scandal,"https://www.ted.com/talks/tristram_stuart_the_global_food_waste_scandal
",28,25,37,101,4,7,559,164,18,417,112,32,2,406
Sarah-Jayne Blakemore,2246203,The mysterious workings of the adolescent brain,"https://www.ted.com/talks/sarah_jayne_blakemore_the_mysterious_workings_of_the_adolescent_brain
",51,58,56,18,39,32,978,489,31,191,30,118,26,187
Julian Treasure,1225395,Why architects need to use their ears,"https://www.ted.com/talks/julian_treasure_why_architects_need_to_use_their_ears
",5,24,75,10,5,3,346,157,5,307,35,35,1,221
Andrew Blum,1337967,Discover the physical side of the internet,"https://www.ted.com/talks/andrew_blum_what_is_the_internet_really
",54,29,27,11,49,12,471,266,20,21,30,114,12,51
Bandi Mbubi,587181,Demand a fair trade cell phone,"https://www.ted.com/talks/bandi_mbubi_demand_a_fair_trade_cell_phone
",1,19,7,82,11,4,181,21,30,156,13,15,5,108
Ed Gavagan,924318,A story about knots and surgeons,"https://www.ted.com/talks/ed_gavagan_a_story_about_knots_and_surgeons
",41,228,4,442,8,9,18,117,2,12,107,28,1,351
Rachel Botsman,1239316,The currency of the new economy is trust,"https://www.ted.com/talks/rachel_botsman_the_currency_of_the_new_economy_is_trust
",13,62,109,39,28,9,386,304,32,258,52,57,11,389
Andrew McAfee,956324,Are droids taking our jobs?,"https://www.ted.com/talks/andrew_mcafee_are_droids_taking_our_jobs
",23,19,43,25,5,9,226,200,46,208,79,42,44,194
Read Montague,693628,"What we're learning from 5,000 brains","https://www.ted.com/talks/read_montague_what_we_re_learning_from_5_000_brains
",3,5,48,2,88,63,131,106,45,15,11,53,17,38
Clay Shirky,1245095,How the Internet will (one day) transform government,"https://www.ted.com/talks/clay_shirky_how_the_internet_will_one_day_transform_government
",83,13,185,46,13,10,302,197,6,349,71,21,4,385
John Lloyd,336430,An animated tour of the invisible,"https://www.ted.com/talks/john_lloyd_an_animated_tour_of_the_invisible
",660,156,274,21,16,13,272,436,16,40,62,69,21,206
Ben Goldacre,2228138,What doctors don't know about the drugs they prescribe,"https://www.ted.com/talks/ben_goldacre_what_doctors_don_t_know_about_the_drugs_they_prescribe
",20,8,39,431,18,4,1126,211,15,831,485,46,5,125
Bahia Shehab,1024326,A thousand times no,"https://www.ted.com/talks/bahia_shehab_a_thousand_times_no
",4,185,25,305,1,2,39,32,11,15,22,17,3,284
Aris Venetikidis,661530,Making sense of maps,"https://www.ted.com/talks/aris_venetikidis_making_sense_of_maps
",33,18,86,4,39,13,150,75,6,26,6,55,6,40
Vicki Arroyo,1030762,Let's prepare for our new climate,"https://www.ted.com/talks/vicki_arroyo_let_s_prepare_for_our_new_climate
",7,14,9,41,40,9,255,24,49,186,6,53,10,142
Amy Cuddy,43155405,Your body language may shape who you are,"https://www.ted.com/talks/amy_cuddy_your_body_language_shapes_who_you_are
",938,3232,1428,6305,338,197,9787,11111,335,6217,3586,1129,155,21210
Robert Gupta,1038897,Between music and medicine,"https://www.ted.com/talks/robert_gupta_between_music_and_medicine
",1,252,19,33,12,0,68,134,13,60,27,27,12,313
Jason McCue,788255,Terrorism is a failed brand,"https://www.ted.com/talks/jason_mccue_terrorism_is_a_failed_brand
",4,2,45,76,65,42,93,43,93,142,14,38,29,69
Shimon Schocken,983172,The self-organizing computer course,"https://www.ted.com/talks/shimon_schocken_the_self_organizing_computer_course
",8,33,202,36,11,2,155,170,13,111,55,31,5,405
Thomas P. Campbell,625454,Weaving narratives in museum galleries,"https://www.ted.com/talks/thomas_p_campbell_weaving_narratives_in_museum_galleries
",6,77,14,6,45,5,56,82,14,37,11,23,5,84
Tim Leberecht,943919,3 ways to (usefully) lose control of your brand,"https://www.ted.com/talks/tim_leberecht_3_ways_to_usefully_lose_control_of_your_reputation
",13,21,37,14,10,20,167,101,52,85,8,80,13,254
John Maeda,1045703,"How art, technology and design inform creative leaders","https://www.ted.com/talks/john_maeda_how_art_technology_and_design_inform_creative_leaders
",73,42,70,10,24,22,135,112,27,46,9,61,2,175
Ruby Wax,2352202,What's so funny about mental illness?,"https://www.ted.com/talks/ruby_wax_what_s_so_funny_about_mental_illness
",907,89,94,601,22,34,357,232,42,127,58,85,83,449
Melissa Marshall,2106788,Talk nerdy to me,"https://www.ted.com/talks/melissa_marshall_talk_nerdy_to_me
",523,89,157,49,13,12,367,113,69,382,33,227,96,430
Maurizio Seracini,725173,The secret lives of paintings,"https://www.ted.com/talks/maurizio_seracini_the_secret_lives_of_paintings
",5,33,66,2,18,13,105,135,6,10,26,27,4,43
Eddie Obeng,1495331,Smart failure for a fast-changing world,"https://www.ted.com/talks/eddie_obeng_smart_failure_for_a_fast_changing_world
",259,19,127,61,13,50,125,156,33,229,33,72,17,346
John Wilbanks,539219,Let's pool our medical data,"https://www.ted.com/talks/john_wilbanks_let_s_pool_our_medical_data
",0,10,53,68,7,1,113,38,8,181,18,14,2,122
Beau Lotto + Amy O'Toole,1272319,"Science is for everyone, kids included","https://www.ted.com/talks/beau_lotto_amy_o_toole_science_is_for_everyone_kids_included
",131,81,117,134,12,29,81,176,6,77,60,38,17,447
Heather Brooke,932024,My battle to expose government corruption,"https://www.ted.com/talks/heather_brooke_my_battle_to_expose_government_corruption
",3,19,14,369,20,6,223,62,21,185,52,36,15,219
Ryan Merkley,695153,"Online video -- annotated, remixed and popped","https://www.ted.com/talks/ryan_merkley_online_video_annotated_remixed_and_popped
",8,11,186,9,2,4,129,88,33,31,35,60,7,91
Pankaj Ghemawat,813261,"Actually, the world isn't flat","https://www.ted.com/talks/pankaj_ghemawat_actually_the_world_isn_t_flat
",7,4,15,35,37,23,241,55,83,108,16,63,39,35
David Pizarro,692434,The strange politics of disgust,"https://www.ted.com/talks/david_pizarro_the_strange_politics_of_disgust
",109,0,44,17,16,5,281,242,10,89,39,27,9,17
Lemn Sissay,720465,A child of the state,"https://www.ted.com/talks/lemn_sissay_a_child_of_the_state
",31,106,9,344,13,6,83,71,11,52,109,14,7,196
Doris Kim Sung,1171568,Metal that breathes,"https://www.ted.com/talks/doris_kim_sung_metal_that_breathes
",6,56,359,4,13,3,191,213,68,35,48,35,6,118
Marco Tempest,1965808,A cyber-magic card trick like no other,"https://www.ted.com/talks/marco_tempest_a_cyber_magic_card_trick_like_no_other
",222,150,242,10,14,11,22,456,60,13,552,88,26,53
Rory Stewart,852344,Why democracy matters,"https://www.ted.com/talks/rory_stewart_how_to_rebuild_democracy
",6,7,15,67,44,10,123,38,86,181,12,63,20,140
Sanjay Pradhan,488481,How open data is changing international aid,"https://www.ted.com/talks/sanjay_pradhan_how_open_data_is_changing_international_aid
",1,15,11,36,8,3,73,23,5,58,4,20,3,115
Emma Teeling,472121,The secret of the bat genome,"https://www.ted.com/talks/emma_teeling_the_secret_of_the_bat_genome
",6,26,17,4,67,4,207,133,29,49,17,43,10,50
Adam Garone,714578,"Healthier men, one moustache at a time","https://www.ted.com/talks/adam_garone_healthier_men_one_moustache_at_a_time
",172,20,57,73,5,0,81,54,2,74,15,10,4,307
Faith Jegede Cole,1123786,What I've learned from my autistic brothers,"https://www.ted.com/talks/faith_jegede_what_i_ve_learned_from_my_autistic_brothers
",15,480,18,250,9,5,110,91,32,100,38,75,13,615
Matt Killingsworth,2723934,Want to be happier? Stay in the moment,"https://www.ted.com/talks/matt_killingsworth_want_to_be_happier_stay_in_the_moment
",38,33,81,8,34,16,537,294,133,149,18,174,19,283
Jake Wood,485501,A new mission for veterans -- disaster relief,"https://www.ted.com/talks/jake_wood_a_new_mission_for_veterans_disaster_relief
",3,16,47,41,1,0,51,14,7,93,6,9,4,140
Gary Greenberg,1022799,The beautiful nano details of our world,"https://www.ted.com/talks/gary_greenberg_the_beautiful_nano_details_of_our_world
",3,332,21,6,12,2,169,330,4,4,57,37,1,70
Georgette Mulheir,803292,The tragedy of orphanages,"https://www.ted.com/talks/georgette_mulheir_the_tragedy_of_orphanages
",2,19,2,51,6,2,163,16,8,129,55,15,2,98
Jeff Hancock,1198585,The future of lying,"https://www.ted.com/talks/jeff_hancock_3_types_of_digital_lies
",69,20,37,11,40,9,357,218,28,105,15,98,8,48
Julie Burstein,1776779,4 lessons in creativity,"https://www.ted.com/talks/julie_burstein_4_lessons_in_creativity
",8,191,21,19,94,15,82,135,76,55,9,139,19,421
Arunachalam Muruganantham,1115222,How I started a sanitary napkin revolution!,"https://www.ted.com/talks/arunachalam_muruganantham_how_i_started_a_sanitary_napkin_revolution
",227,87,332,297,5,2,77,125,4,48,175,17,6,681
Hannah Brencher,1909462,Love letters to strangers,"https://www.ted.com/talks/hannah_brencher_love_letters_to_strangers
",20,748,79,263,17,7,18,155,42,98,61,77,22,765
Leah Buechley,766305,"How to ""sketch"" with electronics","https://www.ted.com/talks/leah_buechley_how_to_sketch_with_electronics
",16,96,132,4,8,8,47,162,45,10,73,37,7,92
David Binder,674288,The arts festival revolution,"https://www.ted.com/talks/david_binder_the_arts_festival_revolution
",13,45,12,7,7,0,29,47,11,17,7,28,2,96
Daphne Bavelier,4682458,Your brain on video games,"https://www.ted.com/talks/daphne_bavelier_your_brain_on_video_games
",46,41,103,28,32,12,691,347,83,285,63,73,17,148
Amos Winter,1004016,The cheap all-terrain wheelchair,"https://www.ted.com/talks/amos_winter_the_cheap_all_terrain_wheelchair
",2,37,322,37,4,2,97,125,12,49,52,30,4,275
Sleepy Man Banjo Boys,1798001,Teen wonders play bluegrass,"https://www.ted.com/talks/teenaged_boy_wonders_play_bluegrass
",25,285,25,16,0,5,1,135,5,2,366,22,7,182
Louie Schwartzberg,3658158,Nature. Beauty. Gratitude.,"https://www.ted.com/talks/louie_schwartzberg_nature_beauty_gratitude
",27,4399,192,176,32,10,131,1110,27,352,793,98,45,3422
Candy Chang,4922118,Before I die I want to ...,"https://www.ted.com/talks/candy_chang_before_i_die_i_want_to
",80,1394,307,502,37,21,85,366,38,223,119,203,55,2572
Ernesto Sirolli,2829484,Want to help someone? Shut up and listen!,"https://www.ted.com/talks/ernesto_sirolli_want_to_help_someone_shut_up_and_listen
",695,224,377,250,20,4,596,616,10,1100,197,54,7,2108
Jonas Eliasson,1194938,How to solve traffic jams,"https://www.ted.com/talks/jonas_eliasson_how_to_solve_traffic_jams
",43,25,111,10,17,19,319,155,95,174,20,74,32,103
Janine Shepherd,1367089,A broken body isn't a broken person,"https://www.ted.com/talks/janine_shepherd_a_broken_body_isn_t_a_broken_person
",90,370,13,842,11,8,14,190,7,117,280,23,4,1471
Munir Virani,926948,Why I love vultures,"https://www.ted.com/talks/munir_virani_why_i_love_vultures
",68,45,5,18,3,0,248,79,10,160,8,40,4,100
Paolo Cardini,2324212,"Forget multitasking, try monotasking","https://www.ted.com/talks/paolo_cardini_forget_multitasking_try_monotasking
",457,44,104,62,25,62,107,62,397,193,11,328,45,284
Bobby Ghosh,660569,Why global jihad is losing,"https://www.ted.com/talks/bobby_ghosh_why_global_jihad_is_losing
",0,22,6,80,9,12,275,74,79,134,12,24,26,126
Ludwick Marishane,1594495,A bath without water,"https://www.ted.com/talks/ludwick_marishane_a_bath_without_water
",257,46,341,85,4,3,94,139,20,44,78,47,9,465
Jeff Smith,1233545,Lessons in business ... from prison,"https://www.ted.com/talks/jeff_smith_lessons_in_business_from_prison
",5,7,26,80,6,2,186,56,34,106,18,77,6,97
Nina Tandon,1063880,Could tissue engineering mean personalized medicine?,"https://www.ted.com/talks/nina_tandon_could_tissue_engineering_mean_personalized_medicine
",6,16,85,6,11,13,136,128,20,34,30,40,16,53
Lemon Andersen,1120276,Please don't take my Air Jordans,"https://www.ted.com/talks/lemon_andersen_performs_please_don_t_take_my_air_jordans
",102,170,54,88,13,10,35,104,25,41,73,50,36,168
Ellen 't Hoen,389194,"Pool medical patents, save lives","https://www.ted.com/talks/ellen_t_hoen_pool_medical_patents_save_lives
",0,8,13,4,10,8,74,8,32,42,4,16,4,24
Markham Nolan,1229150,How to separate fact and fiction online,"https://www.ted.com/talks/markham_nolan_how_to_separate_fact_and_fiction_online
",29,6,111,14,15,3,525,207,20,117,35,60,11,78
Maz Jobrani,8105311,"A Saudi, an Indian and an Iranian walk into a Qatari bar ...","https://www.ted.com/talks/maz_jobrani_a_saudi_an_indian_and_an_iranian_walk_into_a_qatari_bar
",2466,147,93,136,24,7,211,104,28,60,40,135,23,207
Marcus Byrne,1003863,The dance of the dung beetle,"https://www.ted.com/talks/marcus_byrne_the_dance_of_the_dung_beetle
",87,33,48,1,1,0,209,252,2,12,35,20,5,27
Ben Saunders,1778739,Why bother leaving the house?,"https://www.ted.com/talks/ben_saunders_why_bother_leaving_the_house
",47,91,6,305,12,5,47,172,34,142,23,55,21,636
Robin Chase,917877,"Excuse me, may I rent your car?","https://www.ted.com/talks/robin_chase_excuse_me_may_i_rent_your_car
",1,6,74,21,15,6,69,39,38,54,16,44,7,116
Molly Crockett,1200277,Beware neuro-bunk,"https://www.ted.com/talks/molly_crockett_beware_neuro_bunk
",80,31,23,55,25,14,585,144,19,277,13,87,4,73
Steven Addis,1405909,"A father-daughter bond, one photo at a time","https://www.ted.com/talks/steven_addis_a_father_daughter_bond_one_photo_at_a_time
",19,422,28,9,8,6,5,54,16,34,9,65,11,292
Adam Davidson,783528,What we learned from teetering on the fiscal cliff,"https://www.ted.com/talks/adam_davidson_what_we_learned_from_teetering_on_the_fiscal_cliff
",8,1,26,18,24,8,247,41,48,168,14,27,14,59
Ronny Edry,2033797,Israel and Iran: A love story?,"https://www.ted.com/talks/israel_and_iran_a_love_story
",41,661,122,577,7,6,44,171,35,125,151,26,15,1067
Karen Thompson Walker,1951290,What fear can teach us,"https://www.ted.com/talks/karen_thompson_walker_what_fear_can_teach_us
",5,118,113,73,95,29,293,299,112,232,29,208,21,533
Hadyn Parry,943968,Re-engineering mosquitos to fight disease,"https://www.ted.com/talks/hadyn_parry_re_engineering_mosquitos_to_fight_disease
",9,15,267,12,4,8,234,156,10,66,31,30,3,68
Don Levy,724773,A cinematic journey through visual effects,"https://www.ted.com/talks/don_levy_a_cinematic_journey_through_visual_effects
",7,57,15,3,16,12,70,94,101,6,8,139,19,32
Jonathan Haidt,606994,How common threats can make common (political) ground,"https://www.ted.com/talks/jonathan_haidt_how_common_threats_can_make_common_political_ground
",8,4,26,37,17,4,161,42,62,228,16,26,25,114
Sue Austin,2052286,Deep sea diving ... in a wheelchair,"https://www.ted.com/talks/sue_austin_deep_sea_diving_in_a_wheelchair
",15,341,76,283,7,10,30,212,14,36,188,52,10,589
Jarrett J. Krosoczka,879676,How a boy became an artist,"https://www.ted.com/talks/jarrett_j_krosoczka_how_a_boy_became_an_artist
",251,316,13,95,8,0,25,107,3,21,26,24,0,663
Boghuma Kabisen Titanji,478878,Ethical riddles in HIV research,"https://www.ted.com/talks/boghuma_kabisen_titanji_ethical_riddles_in_hiv_research
",3,7,0,47,11,3,113,31,23,81,7,16,4,33
Andy Puddicombe,8033595,All it takes is 10 mindful minutes,"https://www.ted.com/talks/andy_puddicombe_all_it_takes_is_10_mindful_minutes
",410,561,197,134,79,48,1404,829,112,1228,73,384,13,3410
Angela Patton,815594,A father-daughter dance ... in prison,"https://www.ted.com/talks/angela_patton_a_father_daughter_dance_in_prison
",26,335,55,140,2,4,35,50,8,62,22,14,6,383
Ellen Jorgensen,1164723,"Biohacking -- you can do it, too","https://www.ted.com/talks/ellen_jorgensen_biohacking_you_can_do_it_too
",23,10,94,40,15,8,179,163,25,95,18,43,10,220
Cameron Russell,19787465,"Looks aren't everything. Believe me, I'm a model.","https://www.ted.com/talks/cameron_russell_looks_aren_t_everything_believe_me_i_m_a_model
",302,924,101,2306,92,124,986,632,231,497,119,612,77,1617
Richard Weller,1042284,Could the sun be good for your heart?,"https://www.ted.com/talks/richard_weller_could_the_sun_be_good_for_your_heart
",22,6,39,4,5,2,287,133,5,96,18,24,3,29
Colin Stokes,4146987,How movies teach manhood,"https://www.ted.com/talks/colin_stokes_how_movies_teach_manhood
",205,346,125,360,88,74,722,352,263,820,133,207,95,1308
Janine di Giovanni,939074,What I saw in the war,"https://www.ted.com/talks/janine_di_giovanni_what_i_saw_in_the_war
",8,173,9,362,19,10,158,104,23,93,62,96,7,333
Colin Powell,1485801,Kids need structure,"https://www.ted.com/talks/colin_powell_kids_need_structure
",149,80,18,73,39,28,154,103,235,219,27,68,184,549
Steven Schwaitzberg,497489,A universal translator for surgeons,"https://www.ted.com/talks/steven_schwaitzberg_a_universal_translator_for_surgeons
",1,8,30,15,35,4,81,23,28,30,1,27,15,25
Leslie Morgan Steiner,3846779,Why domestic violence victims don't leave,"https://www.ted.com/talks/leslie_morgan_steiner_why_domestic_violence_victims_don_t_leave
",13,140,5,1560,12,16,766,231,39,335,307,57,13,1055
Wingham Rowan,1058852,A new kind of job market,"https://www.ted.com/talks/wingham_rowan_a_new_kind_of_job_market
",4,2,120,14,32,25,142,74,48,114,23,34,3,85
Mitch Resnick,1725064,Let's teach kids to code,"https://www.ted.com/talks/mitch_resnick_let_s_teach_kids_to_code
",72,41,122,23,34,13,243,113,18,151,25,67,8,560
iO Tillett Wright,2679698,Fifty shades of gay,"https://www.ted.com/talks/io_tillett_wright_fifty_shades_of_gay
",51,795,116,791,28,8,270,275,45,335,102,37,22,1109
Fahad Al-Attiya,1412688,A country with no water,"https://www.ted.com/talks/fahad_al_attiya_a_country_with_no_water
",12,30,32,43,35,8,264,73,51,55,8,78,15,116
Kid President,828203,I think we all need a pep talk,"https://www.ted.com/talks/kid_president_i_think_we_all_need_a_pep_talk
",462,266,78,93,8,14,22,69,26,102,69,49,25,771
