main_speaker,views,title,url,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jaw-dropping,OK,Obnoxious,Inspiring
Evgeny Morozov,430276,How the Net aids dictatorships,"https://www.ted.com/talks/evgeny_morozov_is_the_internet_what_orwell_feared
",15,0,19,48,28,31,163,55,115,114,14,62,17,30
William Kamkwamba,2161908,How I harnessed the wind,"https://www.ted.com/talks/william_kamkwamba_how_i_harnessed_the_wind
",95,486,522,851,10,15,82,385,7,122,294,47,74,2576
Taryn Simon,1581054,Photographs of secret sites,"https://www.ted.com/talks/taryn_simon_photographs_secret_sites
",17,213,189,363,154,35,598,821,74,284,275,202,73,341
Jacqueline Novogratz,436147,A third way to think about aid,"https://www.ted.com/talks/jacqueline_novogratz_a_third_way_to_think_about_aid
",3,43,23,46,24,5,92,32,26,122,22,29,10,232
Parag Khanna,935859,Mapping the future of countries,"https://www.ted.com/talks/parag_khanna_maps_the_future_of_countries
",8,19,84,36,43,42,681,335,169,289,51,129,55,143
Tim Brown,1340175,Designers -- think big!,"https://www.ted.com/talks/tim_brown_urges_designers_to_think_big
",1,83,40,30,77,19,284,141,44,158,13,202,6,522
Karen Armstrong,732390,Let's revive the Golden Rule,"https://www.ted.com/talks/karen_armstrong_let_s_revive_the_golden_rule
",4,163,14,144,95,13,71,55,141,206,15,95,46,431
Garik Israelian,593547,How spectroscopy could reveal alien life,"https://www.ted.com/talks/garik_israelian_what_s_inside_a_star
",9,22,70,13,28,20,240,247,12,66,68,28,3,79
Stefan Sagmeister,2956967,The power of time off,"https://www.ted.com/talks/stefan_sagmeister_the_power_of_time_off
",216,192,178,123,80,32,149,224,66,180,29,161,42,913
Carolyn Steel,1014285,How food shapes our cities,"https://www.ted.com/talks/carolyn_steel_how_food_shapes_our_cities
",43,45,45,36,51,12,474,219,79,247,36,100,15,327
David Logan,1404586,Tribal leadership,"https://www.ted.com/talks/david_logan_on_tribal_leadership
",52,30,115,48,59,38,396,333,128,341,64,134,45,597
Chimamanda Ngozi Adichie,13298341,The danger of a single story,"https://www.ted.com/talks/chimamanda_adichie_the_danger_of_a_single_story
",713,5607,744,2817,109,85,2687,2983,103,3002,948,333,78,9566
Beau Lotto,5006241,Optical illusions show how we see,"https://www.ted.com/talks/beau_lotto_optical_illusions_show_how_we_see
",175,206,357,13,52,141,896,1429,128,290,347,241,29,283
Sam Martin,739428,"Claim your ""manspace""","https://www.ted.com/talks/sam_martin_builds_a_room_of_his_own
",168,42,34,9,16,5,97,112,49,35,13,144,34,167
Eric Sanderson,1431255,New York -- before the City,"https://www.ted.com/talks/eric_sanderson_pictures_new_york_before_the_city
",8,230,100,15,70,8,268,367,20,37,74,80,16,229
David Hanson,906262,"Robots that ""show emotion""","https://www.ted.com/talks/david_hanson_robots_that_relate_to_you
",21,24,174,12,9,6,107,267,44,10,166,89,13,95
Rory Sutherland,2882836,Life lessons from an ad man,"https://www.ted.com/talks/rory_sutherland_life_lessons_from_an_ad_man
",2306,65,872,45,23,19,794,884,38,776,145,74,32,843
Henry Markram,1180127,A brain in a supercomputer,"https://www.ted.com/talks/henry_markram_supercomputing_the_brain_s_secrets
",6,89,187,26,47,58,368,540,129,73,318,80,27,180
Julian Treasure,1557795,The 4 ways sound affects us,"https://www.ted.com/talks/julian_treasure_the_4_ways_sound_affects_us
",100,94,114,12,5,19,911,544,13,394,50,117,18,251
John Gerzema,760493,The post-crisis consumer,"https://www.ted.com/talks/john_gerzema_the_post_crisis_consumer
",7,8,29,20,40,18,286,98,94,136,11,94,24,157
Paul Debevec,748862,Animating a photo-real digital face,"https://www.ted.com/talks/paul_debevec_animates_a_photo_real_digital_face
",6,36,186,3,8,3,139,226,29,13,163,79,9,29
Itay Talgam,2890058,Lead like the great conductors,"https://www.ted.com/talks/itay_talgam_lead_like_the_great_conductors
",630,953,306,40,27,30,254,906,31,224,215,61,12,1522
Marc Koska,629018,1.3m reasons to re-invent the syringe,"https://www.ted.com/talks/marc_koska_the_devastating_toll_of_syringe_reuse
",0,27,493,59,2,4,297,55,28,177,103,26,5,172
Ian Goldin,1072435,Navigating our global future,"https://www.ted.com/talks/ian_goldin_navigating_our_global_future
",6,10,10,41,28,38,191,96,85,113,28,107,5,112
David Deutsch,938937,A new way to explain explanation,"https://www.ted.com/talks/david_deutsch_a_new_way_to_explain_explanation
",25,41,196,26,167,59,338,256,71,399,45,105,23,149
Rachel Armstrong,1095398,Architecture that repairs itself?,"https://www.ted.com/talks/rachel_armstrong_architecture_that_repairs_itself
",5,58,376,43,51,37,230,338,198,86,92,93,42,232
Becky  Blanton,1098346,The year I was homeless,"https://www.ted.com/talks/becky_blanton_the_year_i_was_homeless
",15,154,7,567,31,37,90,103,120,75,46,140,33,676
Marcus du Sautoy,1010292,"Symmetry, reality's riddle","https://www.ted.com/talks/marcus_du_sautoy_symmetry_reality_s_riddle
",34,116,130,3,76,65,262,322,31,39,32,97,12,116
Matthew White,771962,The modern euphonium,"https://www.ted.com/talks/matthew_white_gives_the_euphonium_a_new_voice
",48,43,43,36,21,16,6,70,49,4,33,123,68,30
Stefana Broadbent,1198897,How the Internet enables intimacy,"https://www.ted.com/talks/stefana_broadbent_how_the_internet_enables_intimacy
",8,33,16,36,61,31,325,117,124,115,17,184,15,76
Cameron Sinclair,411183,The refugees of boom-and-bust,"https://www.ted.com/talks/cameron_sinclair_the_refugees_of_boom_and_bust
",1,0,5,148,0,6,165,6,11,115,36,14,5,43
Rachel Pike,470615,The science behind a climate headline,"https://www.ted.com/talks/rachel_pike_the_science_behind_a_climate_headline
",12,21,13,16,28,17,260,108,76,51,36,67,22,38
Edward Burtynsky,480142,Photographing the landscape of oil,"https://www.ted.com/talks/edward_burtynsky_photographs_the_landscape_of_oil
",0,69,15,34,7,19,155,68,32,119,50,97,7,88
Cynthia Schneider,441609,The surprising spread of Idol TV,"https://www.ted.com/talks/cynthia_schneider_the_surprising_spread_of_idol_tv
",22,14,10,17,3,13,252,143,28,54,16,54,15,92
Pranav Mistry,16097077,The thrilling potential of SixthSense technology,"https://www.ted.com/talks/pranav_mistry_the_thrilling_potential_of_sixthsense_technology
",165,761,4743,663,85,83,1904,4403,171,535,8416,341,108,4702
Mathieu Lehanneur,431307,Science-inspired design,"https://www.ted.com/talks/mathieu_lehanneur_demos_science_inspired_design
",23,51,153,10,66,36,57,113,71,20,20,63,22,98
Fields Wicker-Miurin,956175,Learning from leadership's missing manual,"https://www.ted.com/talks/fields_wicker_miurin_learning_from_leadership_s_missing_manual
",0,51,7,42,129,16,80,56,85,63,5,99,44,272
Devdutt Pattanaik,1683308,East vs. West -- the myths that mystify,"https://www.ted.com/talks/devdutt_pattanaik
",172,460,350,136,40,57,631,1014,75,504,273,70,33,1178
Tom Wujec,569026,Learn to use the 13th-century astrolabe,"https://www.ted.com/talks/tom_wujec_demos_the_13th_century_astrolabe
",6,105,77,8,19,24,316,270,24,26,13,97,14,124
Hans Rosling,1738069,Asia's rise -- how and when,"https://www.ted.com/talks/hans_rosling_asia_s_rise_how_and_when
",651,100,296,86,7,7,724,773,45,384,298,59,16,480
Rob Hopkins,807653,Transition to a world without oil,"https://www.ted.com/talks/rob_hopkins_transition_to_a_world_without_oil
",3,19,56,64,91,17,260,72,90,227,30,98,30,341
Magnus Larsson,666784,Turning dunes into architecture,"https://www.ted.com/talks/magnus_larsson_turning_dunes_into_architecture
",10,124,469,88,16,11,129,280,95,114,113,50,14,265
Mallika Sarabhai,481834,Dance to change the world,"https://www.ted.com/talks/mallika_sarabhai
",45,110,70,141,33,41,67,68,94,112,24,53,122,219
Shashi Tharoor,1437808,Why nations should pursue soft power,"https://www.ted.com/talks/shashi_tharoor
",102,278,163,166,31,6,591,743,27,464,374,82,21,1148
Gordon Brown,512817,Global ethic vs. national interest,"https://www.ted.com/talks/gordon_brown_on_global_ethic_vs_national_interest
",24,10,11,40,28,17,74,21,86,74,0,52,43,101
Andrea Ghez,763145,The hunt for a supermassive black hole,"https://www.ted.com/talks/andrea_ghez_the_hunt_for_a_supermassive_black_hole
",24,101,44,17,58,41,394,371,41,76,55,128,139,90
Anupam Mishra,833308,The ancient ingenuity of water harvesting,"https://www.ted.com/talks/anupam_mishra_the_ancient_ingenuity_of_water_harvesting
",154,188,315,49,9,9,348,379,6,114,165,31,3,504
Scott Kim,517779,The art of puzzles,"https://www.ted.com/talks/scott_kim_takes_apart_the_art_of_puzzles
",38,17,102,0,32,19,130,118,52,16,22,103,16,49
Sunitha Krishnan,2543750,The fight against sex slavery,"https://www.ted.com/talks/sunitha_krishnan_tedindia
",2,99,26,1880,9,7,407,76,11,596,590,30,11,1327
