main_speaker,views,city,country,continent,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jaw-dropping,OK,Obnoxious,Inspiring
Jackson Browne,656851,Heidelberg,Germany,Europe,4,131,10,16,7,2,16,16,13,42,10,61,15,130
Marcin Jakubowski,1479352,Poznań,Poland,Europe,12,65,1086,250,6,3,338,411,12,323,353,41,2,1152
Carlo Ratti,657251,Turin,Italy,Europe,12,133,235,9,27,28,104,234,57,18,82,67,21,164
Thomas Heatherwick,1586547,London,United Kingdom,Europe,54,548,557,64,15,8,92,445,6,43,290,33,3,597
Malcolm McLaren,251313,London,United Kingdom,Europe,43,25,35,62,106,25,51,80,51,61,29,36,57,164
Daniel Tammet,1751030,London,United Kingdom,Europe,6,261,149,96,67,80,402,807,152,74,90,207,28,399
Rajesh Rao,1190085,London,United Kingdom,Europe,10,44,227,29,17,5,518,641,19,93,72,40,4,190
Maajid Nawaz,703559,Southend-on-Sea,United Kingdom,Europe,5,21,57,208,21,25,266,135,42,281,33,42,8,253
Thandie Newton,2462734,London,United Kingdom,Europe,24,1698,138,1000,121,92,242,499,111,325,247,135,60,2203
Markus Fischer,6264902,Zurich,Switzerland,Europe,110,630,1333,59,24,16,260,1197,20,73,1487,119,13,721
Rory Stewart,659276,London,United Kingdom,Europe,4,11,38,210,14,9,316,113,48,521,50,20,14,181
Jeremy Gilley,842057,Southampton,United Kingdom,Europe,11,118,71,331,51,6,75,95,43,288,119,30,20,777
Marco Tempest,5447236,Zurich,Switzerland,Europe,527,1419,1102,37,41,35,116,1646,100,116,1324,226,40,574
Svante Pääbo,1399333,Stockholm,Sweden,Europe,2,24,56,15,35,14,405,411,21,105,66,56,9,65
Lee Cronin,693722,Dublin,Ireland,Europe,4,19,172,42,100,64,196,298,156,58,80,84,29,106
Misha Glenny,1264969,City of Westminster,United Kingdom,Europe,57,24,79,94,49,8,439,328,56,331,67,62,16,134
Niall Ferguson,1564173,Glasgow,United Kingdom,Europe,65,33,140,52,70,42,728,556,205,527,135,84,148,169
Jarreth Merz,399332,Zurich,Switzerland,Europe,1,37,6,51,2,4,70,16,15,39,5,29,11,149
Ben Goldacre,2204314,London,United Kingdom,Europe,509,28,128,393,26,32,1535,583,33,1069,243,60,28,260
Graham Hill,3729820,London,United Kingdom,Europe,91,125,350,134,33,31,559,355,194,1061,47,392,45,1475
Charles Hazlewood,502832,Reigate and Banstead,United Kingdom,Europe,18,170,27,17,8,5,34,80,16,35,15,28,9,153
Béatrice Coron,933319,Chambéry,France,Europe,25,315,123,6,39,4,22,224,6,17,76,38,5,259
Marco Tempest,1042789,Zurich,Switzerland,Europe,467,174,258,7,22,7,13,257,54,3,137,117,32,83
Michael Nielsen,138812,Roskilde,Denmark,Europe,12,16,39,63,40,4,104,46,50,170,24,37,0,162
Srdja Popovic,276132,Stari Grad Urban Municipality,Serbia,Europe,12,6,18,91,13,17,139,42,31,112,19,64,8,169
Monika Bulaj,550740,Warsaw,Poland,Europe,0,245,8,342,2,14,109,101,23,59,80,38,3,288
Antonio Damasio,1692225,Lisbon,Portugal,Europe,10,53,94,18,149,69,740,605,89,180,68,120,22,201
Alberto Cairo,802688,A Coruña,Spain,Europe,22,399,30,496,10,2,63,147,8,107,108,20,4,1001
Jonas Gahr Støre,338346,Oslo,Norway,Europe,0,6,10,66,23,7,98,23,11,206,6,25,3,163
Alain de Botton,2203020,Zurich,Switzerland,Europe,258,217,474,519,68,36,432,685,322,1070,104,120,101,1302
Julian Baggini,1005287,Folkestone and Hythe District,United Kingdom,Europe,33,135,123,62,72,52,408,534,132,362,51,215,18,745
Bjarke Ingels,422460,Copenhagen,Denmark,Europe,96,273,522,67,9,8,103,316,7,100,258,31,30,576
Peter van Uhm,1818344,Nijmegen,Netherlands,Europe,17,124,63,667,62,21,343,257,217,834,122,148,45,923
Neil MacGregor,983994,Glasgow,United Kingdom,Europe,13,111,35,74,46,22,563,645,17,147,114,83,21,424
Daniel Pauly,224768,Paris,France,Europe,7,6,10,10,5,3,110,16,3,84,9,18,1,34
Marco Tempest,1394503,Zurich,Switzerland,Europe,190,342,277,11,29,17,87,511,60,38,239,98,21,230
Lucy McRae,1565486,City of Westminster,United Kingdom,Europe,112,178,156,55,32,106,63,236,368,14,76,210,209,157
Frank Warren,3055565,Birmingham,United Kingdom,Europe,350,1185,298,175,13,2,42,420,17,31,89,51,21,1062
Frans de Waal,3578701,'s-Hertogenbosch,Netherlands,Europe,1173,214,249,35,17,28,1279,1779,20,500,258,74,10,596
JP Rangaswami,655406,London,United Kingdom,Europe,110,31,145,10,20,19,201,178,55,150,13,85,8,168
Hans Rosling,2138419,Uppsala,Sweden,Europe,170,100,411,41,13,18,1178,861,34,686,266,62,6,243
Reggie Watts,9315931,Stuttgart,Germany,Europe,1167,199,669,65,46,225,19,490,54,25,402,95,72,218
Diane Kelly,3886045,Lincoln,United Kingdom,Europe,276,32,147,186,54,21,971,531,36,81,63,191,17,118
Beeban Kidron,765840,Tirana,Albania,Europe,1,103,24,19,27,5,64,89,9,106,25,51,5,249
Marco Tempest,1721411,Zurich,Switzerland,Europe,94,746,354,20,15,13,345,588,27,31,312,90,22,383
Neil Harbisson,2468887,Mataró,Spain,Europe,418,396,434,137,11,18,252,1210,35,46,739,103,12,581
Ivan Krastev,640604,Sliven,Bulgaria,Europe,11,7,63,86,17,18,196,125,26,267,36,34,3,95
