main_speaker,views,speaker_occupation,cluster
Keller Rinaudo,1118006,Robotics entrepreneur,Business and Economics
Dan Ariely,5319077,Behavioral economist,Business and Economics
Eric Dishman,836699,Social scientist,Science and Technology
Rose George,1624716,Curious journalist,Media and Journalism
Thomas Insel,1188149,Neuroscientist and psychiatrist,Science and Technology
Joshua Prager,1341106,Journalist,Media and Journalism
Robert Gordon,1091988,Economist,Business and Economics
Erik Brynjolfsson,1200139,Innovation researcher,Health and Medicine
Michael Stevens,195899,YouTube educator,Education and Academia
Jennifer Healey,814568,Research scientist,Science and Technology
David Pogue,4843480,Technology columnist,Science and Technology
Nilofer Merchant,2735769,"Corporate director, author",Education and Academia
Taylor Wilson,1546610,Nuclear scientist,Science and Technology
Sebastião Salgado,1593382,Photojournalist,Media and Journalism
Rita Pierson,7469445,Educator,Education and Academia
Timothy Bartik,407419,Economist,Business and Economics
ShaoLan,3062980,"Technologist, entrepreneur",Science and Technology
Bill Gates,2206204,Philanthropist,Philanthropy and Social Change
Ramsey Musallam,2592925,Educator,Education and Academia
Malcolm London,1188177,"Poet, performer, activist",Social Activism and Human Rights
Angela Lee Duckworth,12039978,Psychologist,Health and Medicine
Ken Robinson,6657858,Author/educator,Education and Academia
Meg Jay,8958850,Clinical psychologist,Health and Medicine
Maria Bezaitis,1114173,Computer engineer,Science and Technology
Liu Bolin,1304597,Artist,Arts and Entertainment
Jay Silver,1319453,Inventor,Science and Technology
Sergey Brin,2026001,"Computer scientist, entrepreneur and philanthropist",Science and Technology
Peter Singer,1533054,"Philosopher, ethicist",Philosophy and Thought Leadership
Phil Hansen,2155416,Multimedia artist,Arts and Entertainment
Judy MacDonald Johnston,1467971,Entrepreneur,Business and Economics
Alastair Parvin,1422767,Designer,Architecture and Design
Ji-Hae Park,2715019,Violinist,Performing Arts and Music
Jackson Katz,1625776,Anti-sexism educator,Education and Academia
Hendrik Poinar,948509,Evolutionary geneticist,Interdisciplinary and Emerging Fields
Andrew Solomon,4032150,Writer,Creative Writing and Digital Content
Anas Aremeyaw Anas,1421509,Undercover journalist,Media and Journalism
Denise Herzing,1164684,Dolphin researcher,Health and Medicine
Martin Villeneuve,948840,"Graphic artist, director",Arts and Entertainment
Daniel Suarez,1908577,Sci-fi author,Education and Academia
Manal al-Sharif,1492163,Women’s rights activist,Social Activism and Human Rights
Didier Sornette,1361404,Risk economist,Business and Economics
Juliana Rotich,630822,Tech entrepreneur,Business and Economics
Paul Pholeros,1330614,Architect,Architecture and Design
Lesley Hazleton,1361374,"Writer, psychologist",Health and Medicine
Eric X. Li,2449736,Investor and political scientist,Science and Technology
Joel Selanikio,687669,Health and technology activist,Science and Technology
Jinha Lee,1772635,"Interface designer, engineer",Science and Technology
Sleepy Man Banjo Boys,5199008,Bluegrass musicians,Arts and Entertainment
Charmian Gooch,1570996,Anti-corruption activist,Social Activism and Human Rights
Michael Green,1207550,Architect,Architecture and Design
"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",717979,Cognitive psychologist,Health and Medicine
Jack Andraka,4538435,Cancer detector inventor,Science and Technology
Al Vernacchio,1836106,Sexuality educator,Education and Academia
Pico Iyer,3035515,Global author,Education and Academia
John Searle,1332731,Philosopher,Philosophy and Thought Leadership
Bastian Schaefer,1105500,Aircraft engineer,Science and Technology
Julie Taymor,959460,"Director, designer",Architecture and Design
Beardyman,2067955,Beatboxer and inventor,Science and Technology
Daniel H. Cohen,1423637,Philosopher,Philosophy and Thought Leadership
Jinsop Lee,1469884,Multi-sense designer,Architecture and Design
Saki Mafundikwa,724180,Graphic designer,Architecture and Design
Eleanor Longden,4058274,Research psychologist,Health and Medicine
Derek Paravicini and Adam Ockelford,1471722,Musician,Arts and Entertainment
Shigeru Ban,1573440,Architect,Architecture and Design
Russell Foster,6504999,Circadian neuroscientist,Science and Technology
Steve Ramirez and Xu Liu,1044961,Neuroscientist,Science and Technology
May El-Khalil,5182832,Founder of the Beirut Marathon,Technology Visionaries and Innovators
Kelly McGonigal,14566463,Health psychologist,Health and Medicine
Alexa Meade,2682427,Visual artist,Arts and Entertainment
Jake Barton,780039,Designer and storyteller,Creative Writing and Storytelling
Ron McCallum,682353,Labor lawyer and activist,Social Activism and Human Rights
Sonia Shah,1118305,Science writer,Creative Writing and Digital Content
Eric Berlow and Sean Gourley,1085152,Ecologist,Science and Technology
Andras Forgacs,1151214,Bioprinting entrepreneur,Business and Economics
Stuart Firestein,1836382,Neuroscientist,Science and Technology
Onora O'Neill,1469734,Philosopher,Philosophy and Thought Leadership
James Flynn,2991225,Moral philosopher,Philosophy and Thought Leadership
Kevin Breel,2954036,"Comedian, activist",Arts and Entertainment
Malcolm Gladwell,3665885,Writer,Creative Writing and Digital Content
Kelli Swazey,1538661,Anthropologist,Anthropology and Sociology
Amy Webb,6298610,"Founder and CEO, Future Today Institute",Technology Visionaries and Innovators
Michael Sandel,1684720,Political philosopher,Philosophy and Thought Leadership
Trita Parsi,740772,Political scientist,Science and Technology
Jeff Speck,1041732,Urban planner,Architecture and Design
Amanda Bennett,986726,Journalist,Media and Journalism
Alessandro Acquisti,1305155,Privacy economist,Business and Economics
Hetain Patel,2663827,Artist,Arts and Entertainment
Steve Howard,1041748,Corporate innovator,Technology Visionaries and Innovators
Charles Robertson,1204089,Emerging-markets economist,Business and Economics
Gian Giudice,1644420,Theoretical physicist,Physical and Earth Sciences
Xavier Vilalta,999700,Architect and urbanist,Architecture and Design
Mariana Mazzucato,816687,Innovation economist,Business and Economics
Mohamed Hijri,618471,Biologist,Physical and Earth Sciences
Holly Morris,1108528,Explorer and filmmaker,Arts and Entertainment
Dong Woo Jang,2290464,Bow designer,Architecture and Design
Rodrigo Canales,2225283,Business professor,Education and Academia
Robin Nagle,1628594,Trash anthropologist,Anthropology and Sociology
Grégoire Courtine,926295,Spinal cord researcher,Health and Medicine
Arthur Benjamin,4376218,Mathemagician,Science and Technology
Chris Downey,970048,Architect,Architecture and Design
Mohamed Ali,1017789,Human rights advocate,Social Activism and Human Rights
Jane McGonigal,1154880,Game Designer,Architecture and Design
Henry Evans and Chad Jenkins,1203523,Robotics activist,Social Activism and Human Rights
Andreas Raptopoulos,992489,Airborne logistics activist,Social Activism and Human Rights
Peter Doolittle,2030203,Educational psychology professor,Education and Academia
Suzana Herculano-Houzel,2454860,Neuroscientist,Science and Technology
Geraldine Hamilton,1511694,Bio researcher,Health and Medicine
Enrique Peñalosa,871452,"Colombian politician, urban activist",Social Activism and Human Rights
Boyd Varty,1585575,Environmental and literacy activist,Environment and Sustainability
Diébédo Francis Kéré,900115,Community-minded architect,Architecture and Design
Stephen Cave,2255033,Philosopher,Philosophy and Thought Leadership
Rose George,1430350,Curious journalist,Media and Journalism
Marco Annunziata,1429564,Economist,Business and Economics
Andrew Solomon,7265611,Writer,Creative Writing and Digital Content
Krista Donaldson,954702,Engineer,Science and Technology
Paul Piff,3213217,Social psychologist,Health and Medicine
Diana Nyad,4548115,"Journalist, swimmer",Media and Journalism
Suzanne Talhouk,1233104,Poet and language advocate,Creative Writing and Storytelling
Roger Stein,904210,Financial management expert,Business and Economics
Sandra Aamodt,4102503,Neuroscientist and science writer,Science and Technology
Frederic Kaplan,1187105,Digital humanities researcher,Health and Medicine
Mark Kendall,1004872,Biomedical engineer,Science and Technology
Joe Kowan,2296874,Musician and graphic designer,Arts and Entertainment
Anant Agarwal,1072727,Education innovator,Technology Visionaries and Innovators
McKenna Pope,917406,Teen activist,Social Activism and Human Rights
Nicolas Perony,965291,Animal scientist,Science and Technology
Maya Penn,1458485,"Entrepreneur, animator, philanthropist ...",Business and Economics
Dan Berkenstock,836011,Satellite designer,Architecture and Design
Teddy Cruz,691538,Architect and urbanist,Architecture and Design
Alex Wissner-Gross,1977165,"Scientist, entrepreneur, inventor",Science and Technology
Aparna Rao,1063414,Artist,Arts and Entertainment
Leyla Acaroglu,1227480,Sustainability strategist,Environment and Sustainability
Rupal Patel,853612,Speech scientist,Science and Technology
Yann Dall'Aglio,3840850,Philosopher,Philosophy and Thought Leadership
Molly Stevens,1185518,Biomaterials researcher,Health and Medicine
Christopher Ryan,1981978,Psychologist,Health and Medicine
Michael Metcalfe,756974,Financial expert,Business and Economics
Henry Lin,1304017,Student scientist,Science and Technology
Mary Lou Jepsen,931677,Screen engineer,Science and Technology
Christopher Soghoian,822505,Privacy researcher and activist,Health and Medicine
Manu Prakash,1797519,"Physicist, inventor",Science and Technology
Ajit Narayanan,1256969,Visual grammar engine inventor,Science and Technology
Anne-Marie Slaughter,1424893,Public policy thinker,Public Policy and Governance
Toby Shapshak,1474261,Technology writer,Science and Technology
Carin Bondar,2379244,Wild sex biologist,Physical and Earth Sciences
Steven Pinker and Rebecca Newberger Goldstein,991359,Philosopher and writer,Philosophy and Thought Leadership
Daniel Reisel,734861,Neuroscientist,Science and Technology
Charmian Gooch,760225,Anti-corruption activist,Social Activism and Human Rights
Ziauddin Yousafzai,2124521,Education activist,Social Activism and Human Rights
Bran Ferren,1028312,Technology designer,Science and Technology
Ed Yong,1624605,Science writer,Creative Writing and Digital Content
Hugh Herr,7520736,Bionics designer,Architecture and Design
Geena Rocero,3133189,Model and activist,Social Activism and Human Rights
TED staff,741146,Amateur musicians,Arts and Entertainment
Allan Adams,1736329,Theoretical physicist,Physical and Earth Sciences
Bill and Melinda Gates,3130752,Philanthropist,Philanthropy and Social Change
Jennifer Golbeck,2012614,Computer scientist,Science and Technology
Lawrence Lessig,1095806,Legal activist,Social Activism and Human Rights
Amanda Burden,1061964,Urban planner,Architecture and Design
Louie Schwartzberg,7015800,Filmmaker,Arts and Entertainment
David Sengeh,742510,Biomechatronics engineer,Science and Technology
Jennifer Senior,1901605,Writer,Creative Writing and Digital Content
Matthew Carter,1112914,Type designer,Architecture and Design
Sarah Lewis,2293317,Writer,Creative Writing and Digital Content
Michel Laberge,1038727,Plasma physicist,Physical and Earth Sciences
Hamish Jolly,2572038,"Inventor, ocean swimmer",Science and Technology
James Patten,1033475,Interaction designer,Architecture and Design
Elizabeth Gilbert,3643938,Writer,Creative Writing and Digital Content
Andrew Bastawrous,1051614,"Eye surgeon, inventor",Science and Technology
Gavin Schmidt,1150409,Climate scientist,Science and Technology
Sarah Jones,1506064,Polymorphic playwright,Arts and Entertainment
William Black,1509188,Academic,Education and Academia
Deborah Gordon,1378298,Ecologist,Science and Technology
Rives,1827375,"Performance poet, multimedia artist",Arts and Entertainment
Andrew Solomon,4801456,Writer,Creative Writing and Digital Content
Chris Kluwe,1194762,Punter and author,Education and Academia
Wes Moore,936480,Author and advocate,Education and Academia
Sebastian Junger,2375405,Journalist and documentarian,Media and Journalism
Jon Mooallem,1101811,Writer,Creative Writing and Digital Content
Kitra Cahana,1454663,Vagabond photojournalist + conceptual artist,Arts and Entertainment
Sting,1934877,"Composer, singer, author, actor, activist",Arts and Entertainment
Ray Kurzweil,1971157,"Inventor, futurist",Science and Technology
Dan Gilbert,3399887,Psychologist; happiness expert,Health and Medicine
Stephen Burt,1117996,Poetry critic,Creative Writing and Storytelling
Robert Full,1229640,Biologist,Physical and Earth Sciences
Yoruba Richen,698636,Documentary filmmaker,Arts and Entertainment
Stella Young,2494615,"Comedian, journalist, activist",Arts and Entertainment
Will Potter,1032390,Investigative journalist,Media and Journalism
Uri Alon,1013296,Systems biologist,Physical and Earth Sciences
AJ Jacobs,1107747,Author,Education and Academia
Kwame Anthony Appiah,1569284,Philosopher,Philosophy and Thought Leadership
Ruth Chang,4933802,Philosopher,Philosophy and Thought Leadership
Jamila Lyiscott,3916554,Poet and educator,Education and Academia
Billy Collins,1545239,Poet,Creative Writing and Storytelling
Shaka Senghor,1439616,Author,Education and Academia
Lorrie Faith Cranor,1463585,Security researcher,Health and Medicine
Ge Wang,1172298,Music technologist,Science and Technology
Chris Domas,1017778,Cybersecurity researcher,Health and Medicine
Simon Anholt,4548276,Policy advisor,Public Policy and Governance
Paul Bloom,1073549,Psychologist,Health and Medicine
George Takei,2235902,Actor and activist,Arts and Entertainment
Nicholas Negroponte,1877673,Tech visionary,Technology Visionaries and Innovators
Karima Bennoune,1429067,Professor of international law,Education and Academia
David Chalmers,2162764,Philosopher,Philosophy and Thought Leadership
Nikolai Begg,1332920,Mechanical engineer,Science and Technology
Shih Chieh Huang,833015,Artist,Arts and Entertainment
Heather Barnett,946949,Artist,Arts and Entertainment
Ze Frank,4058219,"Humorist, web artist",Arts and Entertainment
Shai Reshef,4962607,Education entrepreneur,Business and Economics
Megan Washington,1669149,Musician,Arts and Entertainment
Nick Hanauer,1623637,"Venture capitalist, author",Education and Academia
Eric Liu,1798578,Civics educator,Education and Academia
Clint Smith,3804535,"Poet, educator",Education and Academia
Tim Berners-Lee,1054600,Inventor,Science and Technology
Aziza Chaouni,668555,Architect + ecotourism specialist,Architecture and Design
Jarrett J. Krosoczka,1260362,Author/illustrator,Education and Academia
Laurel Braitman,1370965,Science Historian + Writer,Creative Writing and Digital Content
Ziyah Gafić,1000194,Photographer + storyteller,Creative Writing and Storytelling
Martin Rees,1219295,Astrophysicist,Physical and Earth Sciences
Meera Vijayann,884313,Citizen journalist,Media and Journalism
Jill Shargaa,1492005,Comedian + Designer,Arts and Entertainment
Jim Holt,2890269,Writer and philosopher,Philosophy and Thought Leadership
Shubhendu Sharma,1111146,Eco-entrepreneur,Business and Economics
Colin Grant,877106,"Author, historian",Education and Academia
Zak Ebrahim,4619628,Peace activist,Social Activism and Human Rights
Hans and Ola Rosling,3673455,Global health expert; data visionary,Health and Medicine
Uldus Bakhtiozina,1464877,photographer + visual artist,Arts and Entertainment
Mac Barnett,1623955,Children's book author,Education and Academia
Antonio Donato Nobre,984973,Scientist,Science and Technology
Lord Nicholas Stern,773801,Climate economist,Environment and Sustainability
Kenneth Cukier,1305783,Data Editor of The Economist,Business and Economics
Eman Mohammed,1292110,Photojournalist,Media and Journalism
Matthew O'Reilly,1940683,Emergency medical technician,Health and Medicine
Moshe Safdie,1600522,Architect,Architecture and Design
Francis de los Reyes,742106,"Environmental engineer, sanitation activist",Science and Technology
Nancy Kanwisher,1082869,Brain researcher,Health and Medicine
Daria van den Bercken,903111,Pianist,Performing Arts and Music
Thomas Piketty,1349623,Economist,Business and Economics
Pia Mancini,1213718,Democracy activist,Social Activism and Human Rights
Glenn Greenwald,1942778,Journalist,Media and Journalism
Jeff Iliff,3705589,Neuroscientist,Science and Technology
Jorge Soto,1213251,Cancer technologist,Science and Technology
Kitra Cahana,1112534,Vagabond photojournalist + conceptual artist,Arts and Entertainment
Fred Swaniker,1239635,Educational entrepreneur,Business and Economics
Fabien Cousteau,1215053,Ocean explorer and environmentalist,Environment and Sustainability
Sergei Lupashin,1222713,Aerial robotics researcher,Health and Medicine
Debra Jarvis,970703,Chaplain + author,Education and Academia
Jeremy Heimans,1358570,Activist,Social Activism and Human Rights
Alessandra Orofino,735649,Political mobilization activist,Social Activism and Human Rights
Kare Anderson,2230481,Writer,Creative Writing and Digital Content
Alejandro Aravena,1652993,Urban architect,Architecture and Design
Ramanan Laxminarayan,956731,Drug-resistance economist,Business and Economics
Ethan Nadelmann,1593079,Drug policy reformer,Public Policy and Governance
Will Marshall,1701743,Space scientist,Science and Technology
Joe Landolina,1682547,medical inventor,Science and Technology
Rosie King,2226171,Storytelling activist,Social Activism and Human Rights
Emily Balcetis,3143653,Psychologist,Health and Medicine
Pico Iyer,2649262,Global author,Education and Academia
Oren Yakobovich,1104834,Human-rights activist,Social Activism and Human Rights
Dave Troy,1307615,Technologist,Science and Technology
Jeremy Howard,2183690,Data scientist,Science and Technology
Carol Dweck,6569493,Psychologist,Health and Medicine
Bruno Torturra,1278162,Livestreaming activist,Social Activism and Human Rights
Mundano,966645,Graffiti artist + activist,Arts and Entertainment
Michael Rubinstein,1948196,"Research scientist, Google",Science and Technology
Daniele Quercia,2084303,Map researcher,Health and Medicine
Aziz Abu Sarah,1301734,Entrepreneur + educator,Education and Academia
Fredy Peccerelli,712971,Forensic anthropologist,Anthropology and Sociology
Tasso Azevedo,877692,Forester and sustainability activist,Environment and Sustainability
Cristina Domenech,687808,Poet and educator,Education and Academia
Matthieu Ricard,1818659,"Monk, author, photographer",Education and Academia
Joe Madiath,976621,Social entrepreneur,Business and Economics
Miguel Nicolelis,1304427,Neuroscientist,Science and Technology
Severine Autesserre,753002,Peace and conflict researcher,Health and Medicine
Zeynep Tufekci,1120694,Techno-sociologist,Anthropology and Sociology
Ben Ambridge,2446992,Psychologist,Health and Medicine
Tom Wujec,2482234,Designer,Architecture and Design
Jaap de Roode,1068305,Biologist,Physical and Earth Sciences
Kenneth Shinozuka,1559585,Smart product inventor,Science and Technology
Guy Winch,4984884,"Psychologist, author",Health and Medicine
Angelo Vermeulen,1096201,"Space researcher, biologist, artist",Arts and Entertainment
Khalida Brohi,1149837,Women’s rights activist and entrepreneur,Business and Economics
Romina Libster,658478,Medical researcher,Health and Medicine
Ben Wellington,999472,Data scientist,Science and Technology
Jon Gosier,741287,"Investor, data scientist, entrepreneur",Science and Technology
Topher White,1243218,Conservation technologist,Science and Technology
Harry Baker,1369263,Poet,Creative Writing and Storytelling
Ilona Szabó de Carvalho,1135382,Policy reformer,Public Policy and Governance
Sangu Delle,955623,Entrepreneur,Business and Economics
Marc Kushner,2780484,Architect,Architecture and Design
Shimpei Takahashi,1550060,Toy designer,Architecture and Design
Linda Hill,2009552,Management professor,Education and Academia
Robyn Stein DeLuca,1290746,Psychologist,Health and Medicine
David Eagleman,1738331,Neuroscientist,Science and Technology
Joseph DeSimone,2498698,"Chemist, inventor",Science and Technology
Monica Lewinsky,11443190,Social activist,Social Activism and Human Rights
Fei-Fei Li,2005189,Computer scientist,Science and Technology
Anand Giridharadas,1287111,Writer,Creative Writing and Digital Content
Theaster Gates,1024661,"Artist, potter, community builder",Arts and Entertainment
Dame Stephanie Shirley,1919991,Entrepreneur and philanthropist,Business and Economics
Alison Killing,1231198,Architect,Architecture and Design
Bill Gates,2239259,Philanthropist,Philanthropy and Social Change
Bel Pesce,4728000,Entrepreneur,Business and Economics
Eduardo Sáenz de Cabezón,1610293,Math educator,Education and Academia
Dan Ariely,1703367,Behavioral economist,Business and Economics
Barat Ali Batoor,1003314,Photojournalist,Media and Journalism
Kailash Satyarthi,1189513,Children’s rights activist,Social Activism and Human Rights
Takaharu Tezuka,4160772,Architect,Architecture and Design
Gary Haugen,1674355,Human rights attorney,Social Activism and Human Rights
Jedidah Isler,1143028,Astrophysicist,Physical and Earth Sciences
Chris Milk,1492275,Immersive storyteller,Creative Writing and Storytelling
Clint Smith,1908266,"Poet, educator",Education and Academia
Nick Bostrom,2832581,Philosopher,Philosophy and Thought Leadership
Greg Gage,4614317,Neuroscientist,Science and Technology
Sophie Scott,2782822,"Neuroscientist, stand-up comic",Science and Technology
Alice Goffman,1528815,Urban sociologist,Anthropology and Sociology
Abe Davis,1386424,Computer scientist,Science and Technology
Tal Danino,1225763,Synthetic biologist,Physical and Earth Sciences
Dawn Landes,1160841,Singer-songwriter,Creative Writing and Digital Content
Elora Hardy,3351267,Sustainable designer,Architecture and Design
Roman Mars,4597270,Digital storyteller,Creative Writing and Storytelling
Cosmin Mihaiu,1373382,Physical therapy entrepreneur,Business and Economics
Jeffrey Brown,1049652,Pastor,Spiritual and Religious Leadership
Yassmin Abdel-Magied,1863929,"Mechanical engineer, social advocate",Science and Technology
Laura Schulz,1617977,Cognitive scientist,Science and Technology
Trevor Aaronson,1252289,Journalist,Media and Journalism
Suki Kim,3460338,Writer,Creative Writing and Digital Content
Sarah Jones,1531675,Polymorphic playwright,Arts and Entertainment
Donald Hoffman,2471075,Cognitive scientist,Science and Technology
Lee Mokobe,1175629,Poet,Creative Writing and Storytelling
Rana el Kaliouby,1407692,Computer scientist,Science and Technology
Steve Silberman,1476377,Writer and editor,Creative Writing and Digital Content
Joey Alexander,2155099,Jazz pianist,Performing Arts and Music
Roxane Gay,1453205,Writer,Creative Writing and Digital Content
Chip Kidd,1711049,Graphic designer,Architecture and Design
Maryn McKenna,1532875,Public health journalist,Media and Journalism
Jimmy Carter,1388335,Peace activist,Social Activism and Human Rights
Latif Nasser,1531606,Radio researcher,Health and Medicine
Rajiv Maheswaran,1905680,Researcher,Health and Medicine
Memory Banda,1241223,Activist,Social Activism and Human Rights
Johann Hari,7841509,Journalist,Media and Journalism
Noy Thrupkaew,1591696,Global journalist,Media and Journalism
Salvatore Iaconesi,1126129,Open-source engineer and artist,Arts and Entertainment
Marlene Zuk,1441565,Evolutionary biologist,Physical and Earth Sciences
Jon Ronson,2603397,Writer and filmmaker,Arts and Entertainment
John Green,3361105,Writer,Creative Writing and Digital Content
eL Seed,1398751,Artist,Arts and Entertainment
Benedetta Berti,1947342,International policy analyst,Public Policy and Governance
Matt Kenyon,829988,New media artist,Arts and Entertainment
Patience Mthunzi,1203056,Laser scientist,Science and Technology
Manuel Lima,1710873,Data visualization researcher,Health and Medicine
Tony Wyss-Coray,1488893,Brain scientist,Science and Technology
Christopher Soghoian,1266485,Privacy researcher and activist,Health and Medicine
Jim Al-Khalili,1503884,Quantum physicist,Physical and Earth Sciences
Elizabeth Nyamayaro,1272389,Political scientist,Science and Technology
Jamie Bartlett,2061368,Social media analyst,Media and Journalism
Jim Simons,1705702,"Philanthropist, mathematician",Philanthropy and Social Change
Barry Schwartz,2527133,Psychologist,Health and Medicine
Billie Jean King,947562,Tennis legend and activist,Social Activism and Human Rights
David Rothkopf,1215662,Foreign policy strategist,Public Policy and Governance
Mia Birdsong,1612561,Family activist,Social Activism and Human Rights
Michael Kimmel,1447861,Sociologist,Anthropology and Sociology
Mandy Len Catron,3098476,Writer,Creative Writing and Digital Content
Scott Dinsmore,4811180,"Writer, traveler",Creative Writing and Digital Content
Sakena Yacoobi,1371548,Education activist,Social Activism and Human Rights
Frances Larson,1108371,Anthropologist,Anthropology and Sociology
Robin Morgan,1004539,Poet and activist,Social Activism and Human Rights
Samuel Cohen,1506693,Research scientist,Science and Technology
Taiye Selasi,2141928,Author,Education and Academia
Martin Pistorius,2094497,"Author, designer",Education and Academia
Emilie Wapnick,4456309,"Writer, coach, artist ...",Arts and Entertainment
Alice Bows-Larkin,1158020,Climate scholar,Environment and Sustainability
Siddhartha Mukherjee,1294952,Cancer physician and writer,Creative Writing and Digital Content
Neri Oxman,1607427,"Architect, designer",Architecture and Design
Sandrine Thuret,4615013,Neural stem cell researcher,Health and Medicine
Teitur,1034518,Singer-songwriter,Creative Writing and Digital Content
Anders Fjellberg,1220746,Journalist,Media and Journalism
Meklit Hadero,996127,Singer-songwriter,Creative Writing and Digital Content
Will Potter,2507956,Investigative journalist,Media and Journalism
Jennifer Doudna,1936760,Biologist,Physical and Earth Sciences
Tea Uglow,1613847,Designer,Architecture and Design
Hilary Cottam,684300,Innovator and social entrepreneur,Business and Economics
Cesar Harada,1625784,"Inventor, environmentalist, educator",Science and Technology
Christine Sun Kim,1242903,"Sound artist, composer",Arts and Entertainment
Mathias Jud,958480,Artist,Arts and Entertainment
Daniel Levitin,9163813,Neuroscientist,Science and Technology
Nancy Lublin,780116,Activist,Social Activism and Human Rights
Harald Haas,1879260,Communications technology innovator,Science and Technology
Jenni Chang and Lisa Dazols,1609136,Documentary filmmakers,Arts and Entertainment
Andreas Ekström,1396735,Author and journalist,Education and Academia
Chelsea Shields,1452861,"Activist, anthropologist, consultant",Social Activism and Human Rights
Jean-Paul Mari,762041,Journalist and psychologist,Health and Medicine
Carl Safina,1976994,"Ecologist, writer",Creative Writing and Digital Content
Genevieve von Petzinger,3436514,Paleoanthropologist and rock art researcher,Health and Medicine
Ann Morgan,1446267,"Writer, blogger, author",Education and Academia
Marina Abramović,1626686,Performance artist,Arts and Entertainment
Kristen Marhaver,729236,Coral reef biologist,Physical and Earth Sciences
Jessica Shortall,1392660,"Strategy consultant, social entrepreneur and author",Education and Academia
Chieko Asakawa,1201029,Visionary inventor,Science and Technology
Jedidah Isler,1049263,Astrophysicist,Physical and Earth Sciences
Danit Peleg,1582286,Fashion designer,Architecture and Design
Raymond Wang,1690995,Inventor,Science and Technology
Paul Greenberg,1488694,Author,Education and Academia
Alison Killing,1453242,Architect,Architecture and Design
Jane Fonda and Lily Tomlin,2269844,Actor and activist,Arts and Entertainment
Harry Cliff,2291444,Particle physicist,Physical and Earth Sciences
Sebastian Wernicke,1468497,Data scientist,Science and Technology
Aomawa Shields,1526242,"Astronomer, astrobiologist, actor, writer",Arts and Entertainment
David Sedlak,1013976,Civil and environmental engineer,Science and Technology
James Veitch,20475972,Comedian and writer,Arts and Entertainment
Tim Harford,2435682,"Economist, journalist and broadcaster",Business and Economics
Wael Ghonim,1286663,Internet activist and computer engineer,Science and Technology
Ole Scheeren,2079266,Architect,Architecture and Design
Jill Farrant,1332162,Professor of molecular and cell biology,Education and Academia
Oscar Schwartz,764500,Writer and poet,Creative Writing and Storytelling
Achenyo Idachaba,1716203,Green entrepreneur,Business and Economics
Yanis Varoufakis,2269380,Economist and professor,Education and Academia
David Gruber,1853424,"Marine biologist, explorer-photographer",Physical and Earth Sciences
Tania Simoncelli,1059854,Policy expert,Public Policy and Governance
Melati and Isabel Wijsen,1219306,Activists,Social Activism and Human Rights
Linda Liukas,1617536,"Programmer, storyteller and illustrator",Creative Writing and Storytelling
Andrés Ruzo,1198546,Geoscientist,Science and Technology
Judson Brewer,8107178,Mindful addiction doctor,Health and Medicine
Sean Follmer,1406128,Human-computer interaction researcher and designer,Health and Medicine
Gregory Heyworth,761052,Textual scientist,Science and Technology
Mike Velings,1184159,Entrepreneur and conservationist,Business and Economics
Dorothy Roberts,1008812,"Professor, author and social justice advocate",Education and Academia
Celeste Headlee,8444981,Writer and radio host,Creative Writing and Digital Content
Shonda Rhimes,3148366,Writer and producer,Creative Writing and Digital Content
Allan Adams,2233265,Theoretical physicist,Physical and Earth Sciences
Al Gore,1624248,Climate advocate,Environment and Sustainability
Ivan Coyote,1546530,"Writer, performer",Creative Writing and Digital Content
Magda Sayeg,1260939,Textile artist,Arts and Entertainment
Alexander Betts,823110,Social scientist,Science and Technology
Travis Kalanick,1587546,Entrepreneur,Business and Economics
Reshma Saujani,3325490,Education activist,Social Activism and Human Rights
Laura Robinson,1487112,Ocean scientist,Science and Technology
Mileha Soneji,854226,Product designer,Architecture and Design
Joe Gebbia,2019969,"Designer, co-founder of Airbnb",Architecture and Design
Tim Urban,14745406,Blogger,Technology Visionaries and Innovators
Jessica Ladd,1224191,"Founder and CEO, Callisto",Technology Visionaries and Innovators
Meron Gribetz,1575381,"Founder and CEO, Meta",Technology Visionaries and Innovators
Carol Fishman Cohen,1546664,"CEO and co-founder, iRelaunch",Technology Visionaries and Innovators
Latif Nasser,2272081,Radio researcher,Health and Medicine
Siyanda Mohutsiwa,992773,Writer,Creative Writing and Digital Content
Alex Kipman,2224913,Inventor,Science and Technology
Angélica Dass,1961502,Artist and photographer,Arts and Entertainment
Dan Gross,1096198,Gun-control activist,Social Activism and Human Rights
Adam Grant,6484404,Organizational psychologist,Health and Medicine
Linus Torvalds,2399273,Software engineer,Science and Technology
Astro Teller,2300106,"Entrepreneur, inventor, author",Science and Technology
Christiana Figueres,1031398,Climate advocate,Environment and Sustainability
Joshua Prager,1531062,Journalist,Media and Journalism
Aditi Gupta,1428083,"Social entrepreneur, co-founder of Menstrupedia",Business and Economics
Shivani Siroya,1437353,Mobile finance entrepreneur,Business and Economics
R. Luke DuBois,1222519,"Artist, composer, engineer",Arts and Entertainment
Michael Metcalfe,1184083,Financial expert,Business and Economics
Riccardo Sabatini,1503016,"Scientist, entrepreneur",Science and Technology
Sarah Gray,1431262,Researchers' dream donator,Health and Medicine
Dan Pallotta,1836233,"Author, speaker, reformer",Education and Academia
Monica Byrne,876021,Author and playwright,Arts and Entertainment
