main_speaker,views,speaker_occupation,cluster
Marisa Fick-Jordan,294961,"Craft artist, product designer",Arts and Entertainment
Chris Abani,843859,"Novelist, poet",Creative Writing and Storytelling
Louise Leakey,656400,Paleoanthropologist,Anthropology and Sociology
Jonathan Harris,855052,"Artist, storyteller, Internet anthropologist",Arts and Entertainment
Reed Kroloff,282994,Architecture critic,Architecture and Design
Kevin Kelly,1358292,Digital visionary,Science and Technology
Kwabena Boahen,580298,Bioengineer,Science and Technology
Bruno Bowden + Rufus Cappadocia,375734,Engineer and origamist,Science and Technology
Patricia Burchat,1410164,Particle physicist,Physical and Earth Sciences
Nellie McKay,679711,Singer/songwriter,Creative Writing and Digital Content
John Q. Walker,329964,Musician and inventor,Arts and Entertainment
Sugata Mitra,1486853,Education researcher,Health and Medicine
Ory Okolloh,321896,Blogger and activist,Social Activism and Human Rights
Paul Rothemund,501256,DNA origamist,Science and Technology
Peter Diamandis,504508,Space activist,Social Activism and Human Rights
Peter Hirshberg,250722,"Entrepreneur, marketer",Business and Economics
Jonathan Drori,1032549,Educator,Education and Academia
Jane Goodall,556147,Primatologist; environmentalist,Environment and Sustainability
Irwin Redlener,657688,"Physician, disaster-preparedness activist",Social Activism and Human Rights
David Gallo,996736,Oceanographer,Science and Technology
Carmen Agra Deedy,672797,Storyteller,Creative Writing and Storytelling
Jonathan Haidt,2724208,Social psychologist,Health and Medicine
Eve Ensler,1074170,"Playwright, activist",Arts and Entertainment
Philip Zimbardo,5842377,Psychologist,Health and Medicine
Laura Trice,1714168,"Counselor, coach and baker",Philosophy and Thought Leadership
Caleb Chung,417769,Toy designer,Architecture and Design
Steven Pinker,1044038,Psychologist,Health and Medicine
Stefan Sagmeister,724833,Graphic designer,Architecture and Design
Liz Diller,583322,Designer,Architecture and Design
James Nachtwey,421212,Photojournalist,Media and Journalism
David Perry,1084634,Game designer,Architecture and Design
Steven Johnson,344618,Writer,Creative Writing and Digital Content
Garrett Lisi,1491698,Physicist,Physical and Earth Sciences
Virginia Postrel,379382,Journalist,Media and Journalism
Dean Ornish,1110781,"Physician, author",Education and Academia
Paul MacCready,197139,Engineer,Science and Technology
Mihaly Csikszentmihalyi,4016531,Positive psychologist,Health and Medicine
Rives,1594241,"Performance poet, multimedia artist",Arts and Entertainment
Zach Kaplan + Keith Schacht,411647,Inventor,Science and Technology
Newton Aduaka,330238,Filmmaker,Arts and Entertainment
Jackie Tabick,176245,Spiritual leader,Spiritual and Religious Leadership
Robert Wright,236002,"Journalist, philosopher",Philosophy and Thought Leadership
Graham Hawkes,375491,Inventor,Science and Technology
James Surowiecki,429084,Finance journalist,Media and Journalism
Tim Brown,1893522,Designer,Architecture and Design
Lee Smolin,258922,Physicist,Physical and Earth Sciences
Samantha Power,456095,Political scientist and journalist,Science and Technology
Charles Elachi,558734,Planetary scientist,Science and Technology
Ursus Wehrli,1314201,Comedian,Arts and Entertainment
Stewart Brand,242975,"Environmentalist, futurist",Environment and Sustainability
Isaac Mizrahi,900005,Fashion designer,Architecture and Design
Franco Sacchi,223082,Filmmaker,Arts and Entertainment
George Smoot,1630525,Astrophysicist,Physical and Earth Sciences
Bill Joy,487378,Technologist and futurist,Science and Technology
Andy Hobsbawm,429967,Internet entrepreneur,Business and Economics
Gregory Petsko,909508,Bioengineer,Science and Technology
Richard Preston,644637,Writer,Creative Writing and Digital Content
Philip Rosedale,554794,Entrepreneur,Business and Economics
Larry Burns,565020,Automotive researcher,Health and Medicine
Nick Sears,457492,Inventor,Science and Technology
David Holt,512588,Folk musician,Arts and Entertainment
Eva Zeisel,438972,Designer,Architecture and Design
Jay Walker,482996,Entrepreneur,Business and Economics
Dan Gilbert,3707266,Psychologist; happiness expert,Health and Medicine
Benjamin Wallace,1848521,Author,Education and Academia
Penelope Boston,651151,Cave scientist,Science and Technology
Steven Strogatz,642201,Mathematician,Science and Technology
Nicholas Negroponte,363202,Tech visionary,Technology Visionaries and Innovators
John Maeda,241858,Artist,Arts and Entertainment
Paul Moller,417728,Inventor,Science and Technology
Greg Lynn,346702,Designer,Architecture and Design
Rob Forbes,368513,Designer,Architecture and Design
Joseph Pine,930647,Writer,Creative Writing and Digital Content
Paula Scher,505714,Designer at play,Architecture and Design
David Carson,774492,Type designer,Architecture and Design
Barry Schuler,389420,Entrepreneur,Business and Economics
Sherwin Nuland,326663,Doctor,Health and Medicine
Woody Norris,1205867,Inventor,Science and Technology
Aimee Mullins,1013266,Athlete and actor,Arts and Entertainment
Bill Gates,2634359,Philanthropist,Philanthropy and Social Change
Elizabeth Gilbert,13155478,Writer,Creative Writing and Digital Content
Milton Glaser,382985,Graphic designer,Architecture and Design
Barry Schwartz,3303825,Psychologist,Health and Medicine
Sylvia Earle,1139732,Oceanographer,Science and Technology
Ed Ulbrich,907147,Visual storyteller,Creative Writing and Storytelling
Charles Moore,1097511,Oceanographer,Science and Technology
Evan Williams,1134737,Twitter co-founder,Technology Visionaries and Innovators
Brenda Laurel,382517,Designer and theorist,Architecture and Design
